pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
RPP_A_C_s1,0.97,8.536,0.404,538297568.0,15.8246,0.0004,491320,99.3
RPP_A_C_s1,0.99,3.681,0.13,158500985.0,3.6657,0.0001,174534,99.5
RPP_A_C_s2,0.5,43.161,7.32,57255042179.0,747.219,0.0449,1266842,97.2
RPP_A_C_s2,0.6,37.788,5.926,24294189929.0,446.737,0.019,1281187,97.2
RPP_A_C_s2,0.7,30.614,4.351,10412723598.0,250.142,0.0082,1308256,97.4
RPP_A_C_s2,0.75,26.786,3.519,7269488379.0,189.9179,0.0057,1295440,97.6
RPP_A_C_s2,0.8,23.259,2.752,4172661952.0,131.3601,0.0033,1245965,97.7
RPP_A_C_s2,0.85,19.979,2.019,2634017358.0,88.3953,0.0021,1145752,98.0
RPP_A_C_s2,0.9,16.467,1.263,1568262337.0,54.4456,0.0012,978926,98.4
RPP_A_C_s2,0.93,13.87,0.862,1070490034.0,37.5255,0.0008,836580,98.7
RPP_A_C_s2,0.95,11.763,0.648,836309107.0,27.3244,0.0007,717750,98.9
RPP_A_C_s2,0.97,8.985,0.461,429635687.0,13.411,0.0003,553896,99.2
RPP_A_C_s2,0.99,3.89,0.057,84761796.0,2.4062,0.0001,230589,99.7
RPP_A_B_C_s0,0.5,40.53,4.943,41025811242.0,580.4144,0.0322,1222763,97.9
RPP_A_B_C_s0,0.6,36.015,3.725,22659366737.0,369.9247,0.0178,1213151,97.9
RPP_A_B_C_s0,0.7,31.631,2.689,11962565227.0,218.9118,0.0094,1174131,97.9
RPP_A_B_C_s0,0.75,29.411,2.197,9413897901.0,170.4647,0.0074,1133485,98.1
RPP_A_B_C_s0,0.8,27.027,1.722,6664768059.0,124.4919,0.0052,1070549,98.2
RPP_A_B_C_s0,0.85,24.329,1.257,4623167042.0,85.6803,0.0036,979040,98.4
RPP_A_B_C_s0,0.9,21.133,0.833,2734787203.0,51.439,0.0021,848702,98.7
RPP_A_B_C_s0,0.93,18.632,0.593,1815511218.0,32.783,0.0014,745862,98.9
RPP_A_B_C_s0,0.95,16.38,0.432,909754620.0,18.6796,0.0007,658282,99.1
RPP_A_B_C_s0,0.97,12.488,0.276,307301811.0,7.8829,0.0002,535719,99.3
RPP_A_B_C_s0,0.99,4.749,0.099,57729802.0,2.096,0.0,274654,99.7
RPP_A_B_C_s1,0.5,39.635,4.558,33606076371.0,517.2191,0.0263,1171056,97.9
RPP_A_B_C_s1,0.6,35.309,3.614,19634047462.0,332.8656,0.0154,1164387,97.8
RPP_A_B_C_s1,0.7,31.119,2.855,11296520634.0,205.1138,0.0089,1135460,97.8
RPP_A_B_C_s1,0.75,28.918,2.302,8208523010.0,154.7408,0.0064,1098327,97.9
RPP_A_B_C_s1,0.8,26.463,1.742,6145485471.0,116.6084,0.0048,1033286,98.1
RPP_A_B_C_s1,0.85,23.671,1.24,4133854788.0,83.0136,0.0032,932833,98.4
RPP_A_B_C_s1,0.9,20.426,0.808,2129288596.0,45.5098,0.0017,799041,98.7
RPP_A_B_C_s1,0.93,17.998,0.599,1292088307.0,26.6313,0.001,699424,98.9
RPP_A_B_C_s1,0.95,15.729,0.458,751580524.0,17.5323,0.0006,614704,99.1
RPP_A_B_C_s1,0.97,11.815,0.259,335454339.0,8.6683,0.0003,495492,99.4
RPP_A_B_C_s1,0.99,4.935,0.058,57004370.0,2.1227,0.0,260103,99.8
RPP_A_B_C_s2,0.5,39.924,4.913,36291128166.0,572.8509,0.0284,1260973,97.9
RPP_A_B_C_s2,0.6,35.707,3.782,20259187217.0,362.8985,0.0159,1242973,97.8
RPP_A_B_C_s2,0.7,31.544,2.815,12429787299.0,224.9937,0.0097,1193594,97.8
RPP_A_B_C_s2,0.75,29.344,2.324,9074913303.0,173.7636,0.0071,1147503,97.9
RPP_A_B_C_s2,0.8,26.889,1.825,6592272290.0,126.9372,0.0052,1077599,98.1
RPP_A_B_C_s2,0.85,24.021,1.306,4348175869.0,86.0247,0.0034,971743,98.3
RPP_A_B_C_s2,0.9,20.606,0.813,2626207583.0,48.1494,0.0021,822678,98.7
RPP_A_B_C_s2,0.93,18.101,0.541,1801438117.0,30.0829,0.0014,708119,99.0
RPP_A_B_C_s2,0.95,15.958,0.367,895802740.0,16.7295,0.0007,613640,99.2
RPP_A_B_C_s2,0.97,12.536,0.199,338070241.0,8.3996,0.0003,479814,99.5
RPP_A_B_C_s2,0.99,4.56,0.04,12433321.0,0.7987,0.0,220688,99.8
